"student_id","name","name_kana","grade_cd","grade_year","birth_date","school_cd_e","school_cd_j","school_cd_h","is_jukensei","tel_stu","tel_par","email_stu","email_par","login_kind","stu_status","enter_date","leave_date","recess_start_date","recess_end_date","past_enter_term","lead_id","storage_link","memo","created_at","updated_at","deleted_at"
101,"陽小１生徒","ようしょういちてすとせいと",1,"2024",2016/10/01,,,,0,,"022-0000-0000","student1001@test.jp","parent1001@test.jp",1,1,2024/03/01,,,,0,,,,,,
102,"陽小２生徒","ようしょうにてすとせいと",2,"2024",2015/10/01,,,,0,,"022-0000-0000","student1002@test.jp","parent1002@test.jp",1,1,2023/04/01,,,,0,,,,,,
103,"陽小３生徒","ようしょうさんてすとせいと",3,"2024",2014/10/01,,,,0,,"022-0000-0000","student1003@test.jp","parent1003@test.jp",1,1,2022/04/01,,,,0,,,,,,
104,"陽小４生徒","ようしょうよんてすとせいと",4,"2024",2013/10/01,,,,0,,"022-0000-0000","student1004@test.jp","parent1004@test.jp",1,1,2021/04/01,,,,0,,,,,,
105,"陽小５生徒","ようしょうごてすとせいと",5,"2024",2012/10/01,,,,0,,"022-0000-0000","student1005@test.jp","parent1005@test.jp",1,1,2020/04/01,,,,0,,,,,,
106,"陽小６生徒","ようしょうろくてすとせいと",6,"2024",2011/10/01,,,,0,,"022-0000-0000","student1006@test.jp","parent1006@test.jp",1,1,2019/04/01,,,,0,,,,,,
107,"陽中１生徒","ようちゅういちてすとせいと",7,"2024",2010/10/01,,,,0,,"022-0000-0000","student1007@test.jp",,1,1,2024/03/01,,,,0,,,,,,
108,"陽中２生徒","ようちゅうにてすとせいと",8,"2024",2009/10/01,,,,0,,"022-0000-0000","student1008@test.jp",,1,1,2024/02/01,,,,0,,,,,,
109,"陽中３生徒","ようちゅうさんてすとせいと",9,"2024",2008/10/01,,,,1,,"022-0000-0000","student1009@test.jp",,1,1,2019/04/01,,,,0,,,,,,
110,"陽高１生徒","ようこういちてすとせいと",10,"2024",2007/10/01,,,,0,,"022-0000-0000","student1010@test.jp",,1,1,2024/01/01,,,,0,,,,,,
111,"陽高２生徒","ようこうにてすとせいと",11,"2024",2006/10/01,,,,0,,"022-0000-0000","student1011@test.jp",,1,1,2023/12/07,,,,0,,,,,,
112,"陽高３生徒","ようこうさんてすとせいと",12,"2024",2005/10/01,,,,1,,"022-0000-0000","student1012@test.jp",,1,1,2019/03/07,,,,0,,,,,,
113,"陽浪１生徒","ようろういちてすとせいと",13,"2024",2004/10/01,,,,1,,"022-0000-0000","student1013@test.jp",,1,1,2023/03/07,,,,0,,,,,,
114,"陽浪２生徒","ようろうにてすとせいと",14,"2024",2003/10/01,,,,1,,"022-0000-0000","student1014@test.jp",,1,1,2023/03/07,,,,0,,,,,,
115,"陽浪３生徒","ようろうさんてすとせいと",15,"2024",2002/10/01,,,,1,,"022-0000-0000","student1015@test.jp",,1,1,2023/03/07,,,,0,,,,,,
116,"陽大学生徒","ようだいがくてすとせいと",16,"2024",2004/10/01,,,,0,,"022-0000-0000","student1016@test.jp",,1,1,2019/03/07,,,,0,,,,,,
117,"陽中１生徒２","ようちゅういちてすとせいと２",7,"2024",2010/10/01,,,,0,,"022-0000-0000","student1017@test.jp",,1,1,2020/10/07,,,,0,,,,,,
118,"陽中２生徒２","ようちゅうにてすとせいと２",8,"2024",2009/10/01,,,,0,,"022-0000-0000","student1018@test.jp",,1,1,2020/10/07,,,,0,,,,,,
119,"陽中３生徒２","ようちゅうさんてすとせいと２",9,"2024",2008/10/01,,,,1,,"022-0000-0000","student1019@test.jp",,1,1,2020/10/07,,,,0,,,,,,
120,"陽見込客生徒","ようみこみきゃくせいと",7,"2024",2010/10/01,,,,0,,"022-0000-0000","student1020@test.jp",,1,0,,,,,0,,,,,,
201,"戸小１生徒","としょういちてすとせいと",1,"2024",2016/10/01,,,,0,,"022-0000-0000","student2001@test.jp","parent2001@test.jp",1,1,2024/03/01,,,,0,,,,,,
202,"戸小２生徒","としょうにてすとせいと",2,"2024",2015/10/01,,,,0,,"022-0000-0000","student2002@test.jp","parent2002@test.jp",1,1,2023/04/01,,,,0,,,,,,
203,"戸小３生徒","としょうさんてすとせいと",3,"2024",2014/10/01,,,,0,,"022-0000-0000","student2003@test.jp","parent2003@test.jp",1,1,2022/04/01,,,,0,,,,,,
204,"戸小４生徒","としょうよんてすとせいと",4,"2024",2013/10/01,,,,0,,"022-0000-0000","student2004@test.jp","parent2004@test.jp",1,1,2021/04/01,,,,0,,,,,,
205,"戸小５生徒","としょうごてすとせいと",5,"2024",2012/10/01,,,,0,,"022-0000-0000","student2005@test.jp","parent2005@test.jp",1,1,2020/04/01,,,,0,,,,,,
206,"戸小６生徒","としょうろくてすとせいと",6,"2024",2011/10/01,,,,0,,"022-0000-0000","student2006@test.jp","parent2006@test.jp",1,1,2019/04/01,,,,0,,,,,,
207,"戸中１生徒","とちゅういちてすとせいと",7,"2024",2010/10/01,,,,0,,"022-0000-0000","student2007@test.jp",,1,1,2024/03/01,,,,0,,,,,,
208,"戸中２生徒","とちゅうにてすとせいと",8,"2024",2009/10/01,,,,0,,"022-0000-0000","student2008@test.jp",,1,1,2024/02/01,,,,0,,,,,,
