"tutor_id","name","name_kana","tel","email","address","birth_date","gender_cd","grade_cd","grade_year","school_cd_j","school_cd_h","school_cd_u","hourly_base_wage","tutor_status","enter_date","leave_date","memo","created_at","updated_at","deleted_at"
511,"陽テスト講師１","ようてすとこうし１","999-9999-9999","teacher1001@test.jp",,2003/4/30,1,2,"2024",,,,1600,1,2022/05/01,,,,,
512,"陽テスト講師２","ようてすとこうし２","999-9999-9999","teacher1002@test.jp",,2000/8/30,1,6,"2024",,,,1700,1,2023/04/15,,,,,
513,"陽テスト講師３","ようてすとこうし３","999-9999-9999","teacher1003@test.jp",,2004/4/30,2,1,"2024",,,,1500,1,2019/04/01,,,,,
514,"陽テスト講師４","ようてすとこうし４","999-9999-9999","teacher1004@test.jp",,1997/8/30,2,9,"2024",,,,1800,1,2022/04/01,,,,,
515,"陽テスト講師５","ようてすとこうし５","999-9999-9999","teacher1005@test.jp",,2003/9/1,1,2,"2024",,,,1600,1,2022/05/01,,,,,
516,"陽テスト講師６","ようてすとこうし６","999-9999-9999","teacher1006@test.jp",,2003/5/1,2,2,"2024",,,,1600,1,2022/05/01,,,,,
521,"戸テスト講師１","とてすとこうし１","999-9999-9999","teacher2001@test.jp",,2003/4/30,1,2,"2024",,,,1600,1,2022/05/01,,,,,
522,"戸テスト講師２","とてすとこうし２","999-9999-9999","teacher2002@test.jp",,2000/8/30,1,6,"2024",,,,1700,1,2023/04/15,,,,,
523,"戸テスト講師３","とてすとこうし３","999-9999-9999","teacher2003@test.jp",,2004/4/30,2,1,"2024",,,,1500,1,2019/04/01,,,,,
524,"戸テスト講師４","とてすとこうし４","999-9999-9999","teacher2004@test.jp",,1997/8/30,2,9,"2024",,,,1800,1,2022/04/01,,,,,
525,"戸テスト講師５","とてすとこうし５","999-9999-9999","teacher2005@test.jp",,2003/9/1,1,2,"2024",,,,1600,1,2022/05/01,,,,,
526,"戸テスト講師６","とてすとこうし６","999-9999-9999","teacher2006@test.jp",,2003/5/1,2,2,"2024",,,,1600,1,2022/05/01,,,,,
531,"村テスト講師１","むらてすとこうし１","999-9999-9999","teacher3001@test.jp",,2003/4/30,1,2,"2024",,,,1600,1,2022/05/01,,,,,
532,"村テスト講師２","むらてすとこうし２","999-9999-9999","teacher3002@test.jp",,2000/8/30,1,6,"2024",,,,1700,1,2023/04/15,,,,,
533,"村テスト講師３","むらてすとこうし３","999-9999-9999","teacher3003@test.jp",,2004/4/30,2,1,"2024",,,,1500,1,2019/04/01,,,,,
534,"村テスト講師４","むらてすとこうし４","999-9999-9999","teacher3004@test.jp",,1997/8/30,2,9,"2024",,,,1800,1,2022/04/01,,,,,
535,"村テスト講師５","むらてすとこうし５","999-9999-9999","teacher3005@test.jp",,2003/9/1,1,2,"2024",,,,1600,1,2022/05/01,,,,,
536,"村テスト講師６","むらてすとこうし６","999-9999-9999","teacher3006@test.jp",,2003/5/1,2,2,"2024",,,,1600,1,2022/05/01,,,,,
541,"渡テスト講師１","わたてすとこうし１","999-9999-9999","teacher4001@test.jp",,2003/4/30,1,2,"2024",,,,1600,1,2022/05/01,,,,,
542,"渡テスト講師２","わたてすとこうし２","999-9999-9999","teacher4002@test.jp",,2000/8/30,1,6,"2024",,,,1700,1,2023/04/15,,,,,
543,"渡テスト講師３","わたてすとこうし３","999-9999-9999","teacher4003@test.jp",,2004/4/30,2,1,"2024",,,,1500,1,2019/04/01,,,,,
544,"渡テスト講師４","わたてすとこうし４","999-9999-9999","teacher4004@test.jp",,1997/8/30,2,9,"2024",,,,1800,1,2022/04/01,,,,,
545,"渡テスト講師５","わたてすとこうし５","999-9999-9999","teacher4005@test.jp",,2003/9/1,1,2,"2024",,,,1600,1,2022/05/01,,,,,
546,"渡テスト講師６","わたてすとこうし６","999-9999-9999","teacher4006@test.jp",,2003/5/1,2,2,"2024",,,,1600,1,2022/05/01,,,,,
