"account_id","account_type","email","password","password_reset","remember_token","created_at","updated_at","deleted_at"
"1","1","student0001@mp-sample.rulez.jp","test9999","0",,,,
"1","2","tutor0001@ap.jeez.jp","test9999","0",,,,
"1","3","admin0001@mp-sample.rulez.jp","test9999","0",,,,
"2","1","student0002@mp-sample.rulez.jp","test9999","0",,,,
"3","1","student0003@mp-sample.rulez.jp","test9999","0",,,,
"4","1","student0004@mp-sample.rulez.jp","test9999","0",,,,
"5","1","student0005@mp-sample.rulez.jp","test9999","0",,,,
"6","1","student0006@mp-sample.rulez.jp","test9999","0",,,,
"19","3","admin0002@mp-sample.rulez.jp","test9999","0",,,,
"20","3","admin0003@mp-sample.rulez.jp","test9999","0",,,,
"21","3","admin0004@mp-sample.rulez.jp","test9999","0",,,,
"22","3","admin_demo01@mp-sample.rulez.jp","test9999","0",,,,
"101","2","teacher0101@mp-sample.rulez.jp","test9999","0",,,,
"102","2","teacher0102@mp-sample.rulez.jp","test9999","0",,,,
