account_id,account_type,email,password,password_reset,remember_token,plan_type,login_flg,created_at,updated_at,deleted_at
1,1,student0001@test.jp,test9999,0,,0,0,,,
2,1,student0002@test.jp,test9999,0,,0,0,,,
3,1,student0003@test.jp,test9999,0,,0,0,,,
4,1,student0004@test.jp,test9999,0,,0,0,,,
5,1,student0005@test.jp,test9999,0,,0,0,,,
6,1,student0006@test.jp,test9999,0,,0,0,,,
7,1,student0007@test.jp,test9999,0,,0,0,,,
8,1,student0008@test.jp,test9999,0,,0,0,,,
9,1,student0009@test.jp,test9999,0,,0,0,,,
10,1,student0010@test.jp,test9999,0,,0,0,,,
11,1,student0011@test.jp,test9999,0,,0,0,,,
12,1,student0012@test.jp,test9999,0,,0,0,,,
13,1,student0013@test.jp,test9999,0,,0,0,,,
14,1,student0014@test.jp,test9999,0,,0,0,,,
15,1,student0015@test.jp,test9999,0,,0,0,,,
16,1,student0016@test.jp,test9999,0,,0,0,,,
17,1,student0017@test.jp,test9999,0,,0,0,,,
18,1,student0018@test.jp,test9999,0,,0,0,,,
101,2,teacher0101@test.jp,test9999,0,,0,0,,,
102,2,teacher0102@test.jp,test9999,0,,0,0,,,
103,2,teacher0103@test.jp,test9999,0,,0,0,,,
104,2,teacher0104@test.jp,test9999,0,,0,0,,,
105,2,teacher0105@test.jp,test9999,0,,0,0,,,
106,2,teacher0106@test.jp,test9999,0,,0,0,,,
200,3,admin0000@test.jp,test9999,0,,0,0,,,
201,3,admin0001@test.jp,test9999,0,,0,0,,,
202,3,admin0002@test.jp,test9999,0,,0,0,,,
204,3,admin0004@test.jp,test9999,0,,0,0,,,
205,3,admin0005@test.jp,test9999,0,,0,0,,,
206,3,admin0006@test.jp,test9999,0,,0,0,,,
207,3,admin0007@test.jp,test9999,0,,0,0,,,
212,3,admin0012@test.jp,test9999,0,,0,0,,,
213,3,admin0013@test.jp,test9999,0,,0,0,,,
299,3,admin0099@test.jp,test9999,0,,0,0,,,
