"student_id","name","name_kana","grade_cd","grade_year","birth_date","school_cd_e","school_cd_j","school_cd_h","is_jukensei","tel_stu","tel_par","email_stu","email_par","login_kind","stu_status","enter_date","leave_date","recess_start_date","recess_end_date","past_enter_term","lead_id","storage_link","memo","created_at","updated_at","deleted_at"
1,"小１テスト生徒","しょういちてすとせいと",1,"2023",2016/10/01,,,,0,,"022-0000-0000","student0001@test.jp","parent0001@test.jp",1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
2,"小２テスト生徒","しょうにてすとせいと",2,"2023",2015/10/01,,,,0,,"022-0000-0000","student0002@test.jp","parent0002@test.jp",1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
3,"小３テスト生徒","しょうさんてすとせいと",3,"2023",2014/10/01,,,,0,,"022-0000-0000","student0003@test.jp","parent0003@test.jp",1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
4,"小４テスト生徒","しょうよんてすとせいと",4,"2023",2013/10/01,,,,0,,"022-0000-0000","student0004@test.jp","parent0004@test.jp",1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
5,"小５テスト生徒","しょうごてすとせいと",5,"2023",2012/10/01,,,,0,,"022-0000-0000","student0005@test.jp","parent0005@test.jp",1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
6,"小６テスト生徒","しょうろくてすとせいと",6,"2023",2011/10/01,,,,0,,"022-0000-0000","student0006@test.jp","parent0006@test.jp",1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
7,"中１テスト生徒","ちゅういちてすとせいと",7,"2023",2010/10/01,,,,0,,"022-0000-0000","student0007@test.jp",,1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
8,"中２テスト生徒","ちゅうにてすとせいと",8,"2023",2009/10/01,,,,0,,"022-0000-0000","student0008@test.jp",,1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
9,"中３テスト生徒","ちゅうさんてすとせいと",9,"2023",2008/10/01,,,,1,,"022-0000-0000","student0009@test.jp",,1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
10,"高１テスト生徒","こういちてすとせいと",10,"2023",2007/10/01,,,,0,,"022-0000-0000","student0010@test.jp",,1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
11,"高２テスト生徒","こうにてすとせいと",11,"2023",2006/10/01,,,,0,,"022-0000-0000","student0011@test.jp",,1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
12,"高３テスト生徒","こうさんてすとせいと",12,"2023",2005/10/01,,,,1,,"022-0000-0000","student0012@test.jp",,1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
13,"浪１テスト生徒","ろういちてすとせいと",13,"2023",2004/10/01,,,,1,,"022-0000-0000","student0013@test.jp",,1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
14,"浪２テスト生徒","ろうにてすとせいと",14,"2023",2003/10/01,,,,1,,"022-0000-0000","student0014@test.jp",,1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
15,"浪３テスト生徒","ろうさんてすとせいと",15,"2023",2002/10/01,,,,1,,"022-0000-0000","student0015@test.jp",,1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
16,"大学テスト生徒","だいがくてすとせいと",16,"2023",2004/10/01,,,,0,,"022-0000-0000","student0016@test.jp",,1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
17,"見込客生徒","みこみきゃくせいと",17,"2023",2010/10/01,,,,0,,"022-0000-0000","student0017@test.jp",,1,0,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
18,"高３渋谷生徒","こうさんしぶやせいと",18,"2023",2005/10/01,,,,1,,"022-0000-0000","student0018@test.jp",,1,1,2020/04/01,,,,0,,,,2023/09/07 13:53:23,2023/09/07 13:53:25,
